id;original_id;voted_at;periodo;reunion;acta;titulo;tipo;presidente_id;presidente;afirmativos;negativos;abstenciones;resultado;documento_url;fuente_url
19;3634;"1993-11-10 20:45:00";111;25;5;"Moción del Diputado Cavallari de tratamiento sobre Tabla del Exp. 3191-D-93 - OD 319, por el que se solicita la Desafectación de Rentas Generales del total de lo correspondiente al Fondo Especial del Tabaco. Restablecimiento de la Plena vigencia de la Ley 19.800";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";110;71;3;NEGATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1993/111PO02_05_R25.pdf;https://votaciones.hcdn.gob.ar/votacion/3634
18;3635;"1993-12-07 21:31:00";111;30;1;"Moción del Diputado Álvarez de tratamiento sobre Tabla del Exp. 0106-PE-92 - OD 1653 - Reglamentación de Actividades en las Zonas Francas del país";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";116;13;3;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1993/111PO04_01_R30.pdf;https://votaciones.hcdn.gob.ar/votacion/3635
17;3636;"1993-12-22 05:36:00";111;31;1;"Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - En General";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";191;56;0;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1993/111PO06_01_R31.pdf;https://votaciones.hcdn.gob.ar/votacion/3636
16;3637;"1993-12-22 05:42:00";111;31;2;"Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - Artículo 1º";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";190;54;1;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1993/111PO06_02_R31.pdf;https://votaciones.hcdn.gob.ar/votacion/3637
15;3638;"1993-12-22 06:15:00";111;31;3;"Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - Artículo 2º";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";183;61;0;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1993/111PO06_03_R31.pdf;https://votaciones.hcdn.gob.ar/votacion/3638
14;3639;"1993-12-22 07:24:00";111;31;5;"Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - Artículo 3º";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";186;50;4;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1993/111PO06_05_R31.pdf;https://votaciones.hcdn.gob.ar/votacion/3639
13;3640;"1993-12-22 07:33:00";111;31;6;"Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - Artículo 4º";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";186;53;0;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1993/111PO06_06_R31.pdf;https://votaciones.hcdn.gob.ar/votacion/3640
1;3641;"1993-12-22 08:07:00";111;31;31;"Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - Reconsideración de la votación del Artículo 5º";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";175;64;0;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1993/111PO06_31_R31.pdf;https://votaciones.hcdn.gob.ar/votacion/3641
12;3642;"1993-12-22 08:12:00";111;31;10;"Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - Artículo 6º";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";187;53;0;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1993/111PO06_10_R31.pdf;https://votaciones.hcdn.gob.ar/votacion/3642
10;3644;"1993-12-22 08:15:00";111;31;12;"Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - Artículo 8º";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";196;37;4;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1993/111PO06_12_R31.pdf;https://votaciones.hcdn.gob.ar/votacion/3644
11;3643;"1993-12-22 08:15:00";111;31;11;"Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - Artículo 7º";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";193;43;3;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1993/111PO06_11_R31.pdf;https://votaciones.hcdn.gob.ar/votacion/3643
9;3645;"1993-12-22 08:25:00";111;31;13;"Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - Artículo 9º";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";188;43;7;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1993/111PO06_13_R31.pdf;https://votaciones.hcdn.gob.ar/votacion/3645
8;3646;"1993-12-22 08:53:00";111;31;14;"Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - Artículo 10º";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";204;27;3;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1993/111PO06_14_R31.pdf;https://votaciones.hcdn.gob.ar/votacion/3646
7;3647;"1993-12-22 08:54:00";111;31;15;"Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - Artículo 11º";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";203;24;7;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1993/111PO06_15_R31.pdf;https://votaciones.hcdn.gob.ar/votacion/3647
5;3649;"1993-12-22 09:03:00";111;31;17;"Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - Artículo 13º";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";197;25;9;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1993/111PO06_17_R31.pdf;https://votaciones.hcdn.gob.ar/votacion/3649
6;3648;"1993-12-22 09:03:00";111;31;16;"Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - Artículo 12º";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";190;29;12;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1993/111PO06_16_R31.pdf;https://votaciones.hcdn.gob.ar/votacion/3648
4;3650;"1993-12-22 09:04:00";111;31;18;"Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - Artículo 14º";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";190;23;19;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1993/111PO06_18_R31.pdf;https://votaciones.hcdn.gob.ar/votacion/3650
2;3652;"1993-12-22 09:06:00";111;31;20;"Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - Artículo 16º";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";194;24;14;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1993/111PO06_20_R31.pdf;https://votaciones.hcdn.gob.ar/votacion/3652
3;3651;"1993-12-22 09:06:00";111;31;19;"Declarar la necesidad de la Reforma Parcial de la Constitución de 1853, con las reformas de 1860, 1866, 1898 y 1957 - Artículo 15º";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";194;27;11;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1993/111PO06_19_R31.pdf;https://votaciones.hcdn.gob.ar/votacion/3651
59;3654;"1994-02-23 23:32:00";111;37;2;"Moción del Diputado Vicchi de Apartamiento del Reglamento a fin de considerar el Exp. 4617-D-93, por el que se Modifican los Artículos 61º y 88º del Reglamento de la HCD, relacionado con las Autoridades y el nº de integrantes de las Comisiones Permanentes";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";122;17;1;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1993/111ET01_02_R37.pdf;https://votaciones.hcdn.gob.ar/votacion/3654
58;3653;"1994-04-20 23:14:00";111;43;2;"Moción de Orden formulada por el Diputado Rico de Apartamiento del Reglamento para solicitar el tratamiento sobre Tabla del Exp. 5773-D-93, que solicita al PEN el licenciamiento total de los soldados conscriptos que están cumpliendo el servicio militar";"Votación Nominal";217;"ROMERO, Carlos Alberto";120;67;0;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1993/111ET02_02_R43.pdf;https://votaciones.hcdn.gob.ar/votacion/3653
57;3593;"1994-06-10 00:03:00";112;4;1;"Comunicación de la Resolución adoptada por el HSN dando cuenta de que la Comisión Bicameral de la Defensoría del Pueblo del HCN propone el nombramiento del Doctor Jorge Luis Maiorano como Defensor del Pueblo";"Votación Nominal";217;"ROMERO, Carlos Alberto";106;35;1;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1994/112OT02_01_R04.pdf;https://votaciones.hcdn.gob.ar/votacion/3593
56;3594;"1994-06-16 20:14:00";112;5;1;"Insistencia de la HCDN en la sanción original del 2° Párrafo del Artículo 34° del Proyecto de Ley registrado bajo el N° 24.307, Presupuesto de la Administración Nacional para el Ejercicio Fiscal 1994, observada parcialmente por el PEN por Decreto 2660/93";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";152;3;1;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1994/112OT02_01_R05.pdf;https://votaciones.hcdn.gob.ar/votacion/3594
55;3595;"1994-07-29 00:19:00";112;8;3;"Moción del Diputado Ortiz Maldonado de que se trate sobre Tabla el Exp. 2479-D-94, Suspensión del aumento previsto a partir del 12/08/94 en las tarifas de peaje para la utilización de los corredores viales";"Votación Nominal";217;"ROMERO, Carlos Alberto";66;65;5;NEGATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1994/112OT05_03_R08.pdf;https://votaciones.hcdn.gob.ar/votacion/3595
54;3596;"1994-07-29 00:27:00";112;8;4;"Moción del Diputado Matzkin para solicitar la Preferencia con Dictamen de Comisión en la primera sesión que se celebre del Exp. 2479-D-94, Suspensión del aumento previsto a partir del 12/08/94 en las tarifas de peaje para la utilización de los corredores viales";"Votación Nominal";217;"ROMERO, Carlos Alberto";71;54;9;NEGATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1994/112OT05_04_R08.pdf;https://votaciones.hcdn.gob.ar/votacion/3596
53;3597;"1994-08-11 21:19:00";112;11;2;"Mensaje 1258 del PEN, solicitando la devolución del Exp. 0022-PE-93 - Mensaje 1740 - Reforma del Régimen de Contrato de Trabajo";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";93;0;35;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1994/112OT07_02_R11.pdf;https://votaciones.hcdn.gob.ar/votacion/3597
52;3598;"1994-08-11 21:21:00";112;11;3;"Mensaje 1264 del PEN, por el cual se introducen modificaciones al Exp. 0020-PE-93 - Mensaje 1718 sobre el Régimen Financiero de las Universidades Nacionales";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";119;2;11;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1994/112OT07_03_R11.pdf;https://votaciones.hcdn.gob.ar/votacion/3598
51;3599;"1994-08-31 21:10:00";112;14;2;"Moción del Diputado López de tratamiento sobre Tabla del Exp. 2911-D-94 - Organización de la Jornada sobre Empleo y Desocupación en la Argentina";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";68;74;6;NEGATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1994/112OT09_02_R14.pdf;https://votaciones.hcdn.gob.ar/votacion/3599
50;3600;"1994-09-21 22:45:00";112;15;1;"Moción del Diputado Galván de tratamiento sobre Tabla del Exp. 3805-D-94, referente4 al envío de Tropas a Haití";"Votación Nominal";247;"USANDIZAGA, Horacio Daniel";77;70;6;NEGATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1994/112OT09_01_R15.pdf;https://votaciones.hcdn.gob.ar/votacion/3600
49;3601;"1994-09-21 22:56:00";112;15;2;"Moción del Diputado González Gaviola de tratamiento sobre Tabla del Exp. 3806-D-94, que expresa repudio por la utilización del Canal ATC para realizar una campaña de difamación contra opositores políticos";"Votación Nominal";247;"USANDIZAGA, Horacio Daniel";61;80;6;NEGATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1994/112OT09_02_R15.pdf;https://votaciones.hcdn.gob.ar/votacion/3601
48;3602;"1994-10-19 21:12:00";112;27;1;"Insistencia de la HCDN en el proyecto de Ley registrado con el N° 24.305, Programa Nacional de lucha contra la fiebre aftosa, Observada por decreto 7/94 del PEN";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";182;3;3;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1994/112OT10_01_R27.pdf;https://votaciones.hcdn.gob.ar/votacion/3602
47;3603;"1994-11-09 21:57:00";112;31;3;"Moción del Diputado Mercado Luna de que se trate sobre Tabla el Exp. 4813-D-94, Expresión de Repudio por las declaraciones del Señor Presidente de la Nación relacionadas con las reivindicaciones de la lucha antisuversiva";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";55;91;4;NEGATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1994/112OT12_03_R31.pdf;https://votaciones.hcdn.gob.ar/votacion/3603
46;3604;"1994-11-16 22:00:00";112;33;2;"Programa Nacional para la Emergencia Habitacional - Artículo 3°";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";89;62;2;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1994/112OT12_02_R33.pdf;https://votaciones.hcdn.gob.ar/votacion/3604
45;3605;"1994-11-16 22:47:00";112;33;3;"Programa Nacional para la Emergencia Habitacional - Artículo 4°";"Votación Nominal";217;"ROMERO, Carlos Alberto";84;59;3;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1994/112OT12_03_R33.pdf;https://votaciones.hcdn.gob.ar/votacion/3605
44;3606;"1994-11-17 16:38:00";112;34;1;"Financiamiento de la Vivienda y la Construcción - En General";"Votación Nominal";217;"ROMERO, Carlos Alberto";139;9;2;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1994/112OT12_01_R34.pdf;https://votaciones.hcdn.gob.ar/votacion/3606
43;3607;"1994-11-30 21:03:00";112;37;1;"Presupuesto General de la Administración Pública Nacional para el Ejercicio Fiscal 1995 - Artículo 1°";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";106;79;3;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1994/112OE13_01_R37.pdf;https://votaciones.hcdn.gob.ar/votacion/3607
42;3608;"1994-11-30 21:04:00";112;37;2;"Presupuesto General de la Administración Pública Nacional para el Ejercicio Fiscal 1995 - Artículo 2°";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";109;72;7;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1994/112OE13_02_R37.pdf;https://votaciones.hcdn.gob.ar/votacion/3608
41;3609;"1994-11-30 22:43:00";112;37;3;"Presupuesto General de la Administración Pública Nacional para el Ejercicio Fiscal 1995 - Artículo 10°";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";94;54;3;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1994/112OE13_03_R37.pdf;https://votaciones.hcdn.gob.ar/votacion/3609
40;3610;"1994-11-30 23:01:00";112;37;4;"Presupuesto General de la Administración Pública Nacional para el Ejercicio Fiscal 1995 - Artículo 11°";"Votación Nominal";217;"ROMERO, Carlos Alberto";94;49;5;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1994/112OE13_04_R37.pdf;https://votaciones.hcdn.gob.ar/votacion/3610
39;3611;"1994-12-14 22:28:00";112;40;1;"Moción del Diputado Pascual solicitando el tratamiento Preferencial del Exp. 4192-D-94, Convocar al Pueblo de la Ciudad de Buenos Aires a elecciones con el objeto de elegir representantes que sancionen el Estatuto Organizativo de sus Instituciones, en cumplimiento de lo dispuesto en el tercer párrafo del Artículo 129 de la Constitución Nacional";"Votación Nominal";217;"ROMERO, Carlos Alberto";67;100;5;NEGATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1994/112PO02_01_R40.pdf;https://votaciones.hcdn.gob.ar/votacion/3611
38;3612;"1994-12-14 23:13:00";112;40;2;"Moción del Diputado Natale de tratamiento sobre Tabla del Exp. 5408-D-94, Solicita al PEN la abstención de firmar el contrato de concesión del Área Militar Córdoba, a favor de la Empresa Lockheed Aircraft Argentina S.A";"Votación Nominal";217;"ROMERO, Carlos Alberto";76;82;7;NEGATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1994/112PO02_02_R40.pdf;https://votaciones.hcdn.gob.ar/votacion/3612
37;3613;"1994-12-15 20:11:00";112;41;4;"Disminución General de las retribuciones de Letrados y Auxiliar de Justicia en los Procesos Judiciales - Artículo 4°";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";79;75;1;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1994/112PO02_04_R41.pdf;https://votaciones.hcdn.gob.ar/votacion/3613
36;3614;"1994-12-15 20:21:00";112;41;5;"Disminución General de las retribuciones de Letrados y Auxiliar de Justicia en los Procesos Judiciales - Solicitud del Diputado Galván de rectificación de la votación del Artículo 4°";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";46;85;19;NEGATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1994/112PO02_05_R41.pdf;https://votaciones.hcdn.gob.ar/votacion/3614
35;3615;"1994-12-15 20:31:00";112;41;6;"Disminución General de las retribuciones de Letrados y Auxiliar de Justicia en los Procesos Judiciales - Artículo 4° votado nuevamente Nominal";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";79;66;6;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1994/112PO02_06_R41.pdf;https://votaciones.hcdn.gob.ar/votacion/3615
34;3616;"1994-12-22 03:18:00";112;43;1;"Modificación del Régimen de Contrato de Trabajo - En General";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";91;50;3;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1994/112PO03_01_R43.pdf;https://votaciones.hcdn.gob.ar/votacion/3616
33;3617;"1994-12-22 04:57:00";112;43;2;"Modificación al Régimen Electoral Nacional, elección de Presidente y Vicepresidente de la Nación, Senadores y Diputados Nacionales - En General";"Votación Nominal";217;"ROMERO, Carlos Alberto";139;0;0;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1994/112PO03_02_R43.pdf;https://votaciones.hcdn.gob.ar/votacion/3617
32;3618;"1994-12-22 23:42:00";112;45;1;"Modificación a la Ley 13.893, de Tránsito y Seguridad Vial";"Votación Nominal";217;"ROMERO, Carlos Alberto";133;2;2;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1994/112PO03_01_R45.pdf;https://votaciones.hcdn.gob.ar/votacion/3618
113;3619;"1995-02-09 02:33:00";112;44;3;"Insistencia de la HCDN en la sanción del proyecto de Ley registrado con el N° 24.416, Creación del Fondo de Emergencia Agropecuaria, observado totalmente por el PEN por decreto 2272/94";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";115;3;9;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1994/112PO03_03_R44.pdf;https://votaciones.hcdn.gob.ar/votacion/3619
112;3620;"1995-02-15 21:09:00";112;46;1;"Régimen de Solidaridad Previsional y Reformas al Sistema Integrado de Jubilaciones y Pensiones - Artículo 2°";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";109;82;5;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1994/112PO04_01_R46.pdf;https://votaciones.hcdn.gob.ar/votacion/3620
111;3621;"1995-02-15 21:24:00";112;46;2;"Régimen de Solidaridad Previsional y Reformas al Sistema Integrado de Jubilaciones y Pensiones - Artículo 3°";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";110;73;3;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1994/112PO04_02_R46.pdf;https://votaciones.hcdn.gob.ar/votacion/3621
110;3531;"1995-03-15 23:56:00";113;7;1;"Modificación a la Ley 23.966, Impuestos sobre los Bienes Personales no incorporados al Proceso Económico - En General";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";134;47;2;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1995/113OE01_01_R07.pdf;https://votaciones.hcdn.gob.ar/votacion/3531
109;3532;"1995-03-16 00:20:00";113;7;2;"Modificación a la Ley 23.966, Impuestos sobre los Bienes Personales no incorporados al Proceso Económico - Artículo 1º con modificaciones";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";136;63;4;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1995/113OE01_02_R07.pdf;https://votaciones.hcdn.gob.ar/votacion/3532
108;3533;"1995-03-16 00:21:00";113;7;3;"Modificación a la Ley 23.966, Impuestos sobre los Bienes Personales no incorporados al Proceso Económico - Artículo 2º	Nominal";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";136;66;1;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1995/113OE01_03_R07.pdf;https://votaciones.hcdn.gob.ar/votacion/3533
107;3534;"1995-03-16 00:30:00";113;7;4;"Modificación a la Ley 23.966, Impuestos sobre los Bienes Personales no incorporados al Proceso Económico - Artículo 3º";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";128;71;6;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1995/113OE01_04_R07.pdf;https://votaciones.hcdn.gob.ar/votacion/3534
106;3535;"1995-03-16 00:31:00";113;7;5;"Modificación a la Ley 23.966, Impuestos sobre los Bienes Personales no incorporados al Proceso Económico - Rectificación de la votación del Artículo 3º";"Votación Nominal";201;"PIERRI, Alberto Reinaldo";126;68;10;AFIRMATIVO;https://votaciones.hcdn.gob.ar/proxy/pdf/1995/113OE01_05_R07.pdf;https://votaciones.hcdn.gob.ar/votacion/3535
